"InputLine","Mapped Concept Count","Used lossy mention editor","Mapped Concept Label 1","Mapped Concept Label 2","Mapped Concept Label 3","Mapped Concept URI 1","Mapped Concept URI 2","Mapped Concept URI 3"
"middle ramus of lateral fissure",0,0,,,,,,
"sulcus temporalis medius anterior",0,0,,,,,,
"sulcus lateralis, ramus ascendens",0,0,,,,,,
"intraparietal sulcus",0,0,,,,,,
"colliculus caudalis",0,0,,,,,,
"sulcus postcentralis superior",0,0,,,,,,
"nucleus habenularis lateralis interstitialis",0,0,,,,,,
"perirhinal area 35",0,0,,,,,,
"optic tract",0,0,,,,,,
"lateral septal nucleus rostral  part dorsolateral zone",0,0,,,,,,
"ventral hippocampal commissure",0,0,,,,,,
"ascending activating system",0,0,,,,,,
"supratrigeminal nucleus",1,0,"Supratrigeminal nucleus",,,"http://mouse.brain-map.org/atlas/index.html#SUT",,
"area vestibularis",0,0,,,,,,
"h1 field of forel",0,0,,,,,,
"pyramus",0,0,,,,,,
"lentiform nuclei",0,0,,,,,,
"dorsolateral fissure of cerebellum",0,0,,,,,,
"subparafascicular nucleus",1,0,"Subparafascicular nucleus",,,"http://mouse.brain-map.org/atlas/index.html#SPF",,
"nucleus medialis fibrosus",0,0,,,,,,
"area commissurae postopticae",0,0,,,,,,
"thalamic association nuclei",0,0,,,,,,
"inferior olivary hilum",0,0,,,,,,
"corpus ciliare",0,0,,,,,,
"transverse frontopolar gyrus",0,0,,,,,,
"brachium colliculi caudalis",0,0,,,,,,
"lateral hypothalamic area, suprafornical region",0,0,,,,,,
"raphe of mesenchephalon",0,0,,,,,,
"nucleus subparafascicularis thalami",0,0,,,,,,
"anterior pretectal nucleus, dorsal part",0,0,,,,,,
"lateral septal nucleus caudal  part ventral zone lateral region dorsal domain",0,0,,,,,,
"cerebellar cortex",1,0,"Cerebellar cortex",,,"http://mouse.brain-map.org/atlas/index.html#CBX",,
"eminentia postinfundibularis",0,0,,,,,,
"paraterminal gyrus",0,0,,,,,,
"tractus spinothalamicus medialis",0,0,,,,,,
"nucleus ventralis lateralis",0,0,,,,,,
"oliva superior - not otherwise specified",0,0,,,,,,
"substantia medullaris cuneatus",0,0,,,,,,
"frontal operculum",0,0,,,,,,
"accesory abducens nucleus",0,0,,,,,,
"hypoglossal nerve",0,0,,,,,,
"eminentia lateralis",0,0,,,,,,
"cell group b7",0,0,,,,,,
"areas of brodmann",0,0,,,,,,
"gyrus parietalis superior",0,0,,,,,,
"cauda equina",0,0,,,,,,
"layer 6b, isocortex",1,0,"Layer 6b, isocortex",,,"http://mouse.brain-map.org/atlas/index.html#CTXsp6b",,
"medial oculomotor cell column",0,0,,,,,,
"nerve xii",0,0,,,,,,
"nigrotegmental tract",0,0,,,,,,
"spinal nucleus of the trigeminal nerve, oral dorsomedial part",0,0,,,,,,
"lateral septal nucleus rostral  part medial zone dorsal region",0,0,,,,,,
"telodiencephalic fissure",0,0,,,,,,
"lateral hypothalamic area, parvicellular region",0,0,,,,,,
"flocculonodular lobe",0,0,,,,,,
"nucleus posteromarginalis",0,0,,,,,,
"regio hypothalamica intermedia - not otherwise specified",0,0,,,,,,
"nucleus tuberis medialis",0,0,,,,,,
"mid-cerebellar peduncle",0,0,,,,,,
"regio cingularis periarchicorticalis",0,0,,,,,,
"nigrostriatal tract",0,0,,,,,,
"fibers of piccolomini",0,0,,,,,,
"dorsal fornix",0,0,,,,,,
"tentorial notch",0,0,,,,,,
"suprachiasmatic nucleus, ventrolateral part",0,0,,,,,,
"circular sulcus",0,0,,,,,,
"nucleus cornucommissuralis posterior",0,0,,,,,,
"field ca2 of hippocampus",1,0,"Field CA2",,,"http://mouse.brain-map.org/atlas/index.html#CA2",,
"nervus lancisii",0,0,,,,,,
"intrarhinal sulcus",0,0,,,,,,
"secondary visual area",0,0,,,,,,
"colliculus nuclei caudati",0,0,,,,,,
"corpus",0,0,,,,,,
"vertical arcuate sulcus",0,0,,,,,,
"reticular nuclear group",0,0,,,,,,
"sensory decussation",0,0,,,,,,
"ventral horn of the spinal cord",0,0,,,,,,
"nucleus caudatus",0,0,,,,,,
"agranular insular cortex, posterior part",0,0,,,,,,
"bed nuclei stria terminalis, anterior division, dorsomedial nucleus",1,0,"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",,,"http://mouse.brain-map.org/atlas/index.html#BSTdm",,
"corpus mammillare",0,0,,,,,,
"paraventricular hypothalamic nucleus, posterior magnocellular part, medial zone",0,0,,,,,,
"parafascicular nucleus",1,0,"Parafascicular nucleus",,,"http://mouse.brain-map.org/atlas/index.html#PF",,
"longitudinal sulcus",0,0,,,,,,
"gyrus occipitalis",0,0,,,,,,
"regio retrobulbaris",0,0,,,,,,
"nucleus medialis septi",0,0,,,,,,
"nucleus pulvinaris medialis internus",0,0,,,,,,
"nervus vomeronasalis",0,0,,,,,,
"basolateral amygdalar nucleus, posterior part",1,0,"Basolateral amygdalar nucleus, posterior part",,,"http://mouse.brain-map.org/atlas/index.html#BLAp",,
"transverse orbital sulcus",0,0,,,,,,
"anterior branch of lateral sulcus",0,0,,,,,,
"spinal nerves",0,0,,,,,,
"amygdaloid basolateral complex",1,0,"Basolateral amygdalar nucleus",,,"http://mouse.brain-map.org/atlas/index.html#BLA",,
"pes pedunculi",0,0,,,,,,
"area preopticus medialis",0,0,,,,,,
"subparafascicular nucleus, parvicellular part",1,0,"Subparafascicular nucleus, parvicellular part",,,"http://mouse.brain-map.org/atlas/index.html#SPFp",,
"basolateral nucleus of the amygdala",1,0,"Basolateral amygdalar nucleus",,,"http://mouse.brain-map.org/atlas/index.html#BLA",,
"archaeocortex",0,0,,,,,,
"zona incerta, ventral part",0,0,,,,,,
"uvula vermis",0,0,,,,,,
"supraoptic nucleus, accessory supraoptic group, nucleus circularis",0,0,,,,,,
"area 3  of mauss-08",0,0,,,,,,
"corpus parabigeminum",0,0,,,,,,
"nucleus olivaris corporis quadrigemini anterioris",0,0,,,,,,
"nucleus of the solitary tract",1,0,"Nucleus of the solitary tract",,,"http://mouse.brain-map.org/atlas/index.html#NTS",,
"nucleus lemnisci lateralis pars dorsalis",0,0,,,,,,
"interpeduncular nucleus, apical subnucleus",0,0,,,,,,
"ventral hippocampal commissure",0,0,,,,,,
"pons, motor related",1,0,"Pons, motor related",,,"http://mouse.brain-map.org/atlas/index.html#P-mot",,
"hypoglossal nerve nucleus",1,0,"Hypoglossal nucleus",,,"http://mouse.brain-map.org/atlas/index.html#XII",,
"retrosplenial region",0,0,,,,,,
"lateral dorsal nucleus",1,0,"Lateral dorsal nucleus of thalamus",,,"http://mouse.brain-map.org/atlas/index.html#LD",,
"subparafascicular thalamic nucleus",0,0,,,,,,
"fissura mediana anterior",0,0,,,,,,
"taenia fimbriae",0,0,,,,,,
"s internal feature",0,0,,,,,,
"nucleus ventrocaudalis externus",0,0,,,,,,
"lateral septal nucleus, caudal part, ventral zone, lateral region",0,0,,,,,,
"posterior pillar of fornix",0,0,,,,,,
"superior parietal gyrus",0,0,,,,,,
"mitral cell layer of the olfactory bulb",0,0,,,,,,
"dorsal longitudinal fascicle",0,0,,,,,,
"nucleus reuniens rostral division anterior part",0,0,,,,,,
"olivocerebellar tract",0,0,,,,,,
"sulcus rhinalis",0,0,,,,,,
"sulcus orbitalis externus",0,0,,,,,,
"spinoreticular fibers",0,0,,,,,,
"c3 adrenaline cells",0,0,,,,,,
"ramus marginalis sulci cingulati",0,0,,,,,,
"nucleus geniculatus medialis fibrosus",0,0,,,,,,
"sulcus lateralis, ramus anterior",0,0,,,,,,
"posterior column of fornix",0,0,,,,,,
"area 8 of brodmann-09",0,0,,,,,,
"lateral division of central nucleus of amygdala",1,1,"Central amygdalar nucleus",,,"http://mouse.brain-map.org/atlas/index.html#CEA",,
"plexus choroidea",0,0,,,,,,
"third ventricle - not otherwise specified",0,0,,,,,,
"tela choroidea",0,0,,,,,,
"superior ramus of arcuate sulcus",0,0,,,,,,
"calcarine fissure",0,0,,,,,,
"olfactory radiations of zuckerkandl",0,0,,,,,,
"nucleus of tractus solitarius",1,0,"Nucleus of the solitary tract",,,"http://mouse.brain-map.org/atlas/index.html#NTS",,
"lateral pyramidal tract",0,0,,,,,,
"gyrus paraterminalis",0,0,,,,,,
"spinocerebellar tracts",0,0,,,,,,
"nucleus hypothalami paraventricularis",0,0,,,,,,
"subcoeruleus nucleus, ventral part",0,0,,,,,,
"gyrus occipitalis medius",0,0,,,,,,
"posterior complex of the thalamus",1,0,"Posterior complex of the thalamus",,,"http://mouse.brain-map.org/atlas/index.html#PO",,
"septohypothalamic nucleus",0,0,,,,,,
"dentate gyrus, lateral blade-molecular layer",1,0,"Dentate gyrus lateral blade, molecular layer",,,"http://mouse.brain-map.org/atlas/index.html#DGlb-mo",,
"area 11 of mauss-08",0,0,,,,,,
"foramen of monro",0,0,,,,,,
"intermediate zone of cerebellum",0,0,,,,,,
"anteromedial nucleus of thalamus ventral part",0,0,,,,,,
"pallidohypothalamic fibers",0,0,,,,,,
"accessory nucleus of the ventral horn",0,0,,,,,,
"nucleus olivaris pretectalis",0,0,,,,,,
"cortical amygdalar area, posterior part",1,0,"Cortical amygdalar area, posterior part",,,"http://mouse.brain-map.org/atlas/index.html#COAp",,
"transverse occipital fasciculus of lingual lobule",0,0,,,,,,
"olivospinal tract of helweg",0,0,,,,,,
"parabrachial nucleus, lateral division, central lateral part",1,0,"Parabrachial nucleus, lateral division, central lateral part",,,"http://mouse.brain-map.org/atlas/index.html#PBlc",,
"nucleus of eminentia teres",0,0,,,,,,
"gyri cerebri",0,0,,,,,,
"motor speech area of broca",0,0,,,,,,
"inferior occipital gyrus",0,0,,,,,,
"sulcus parieto-occipitalis",0,0,,,,,,
"parietal operculum",0,0,,,,,,
"hippocampus retrocommissuralis",0,0,,,,,,
"subnucleus dorsomedialis",0,0,,,,,,
"nucleus amygdalae centralis",0,0,,,,,,
"oliva",0,0,,,,,,
"medial longitudinal fasciculus of pons",0,0,,,,,,
"sulcus calcarinus posterior",0,0,,,,,,
"anterior part of anterior commissure",0,0,,,,,,
"nucleus vestibularis caudalis",0,0,,,,,,
"ventral cochlear nucleus, posterior part",0,0,,,,,,
"sulcus intermedius dorsalis",0,0,,,,,,
"medullary reticular nucleus ventral part",1,0,"Medullary reticular nucleus, ventral part",,,"http://mouse.brain-map.org/atlas/index.html#MDRNv",,
"layer of small stellate and pyramidal cells",0,0,,,,,,
"reticular core",0,0,,,,,,
"thalamic peduncles",0,0,,,,,,
"eminentia trigemini",0,0,,,,,,
"substantia medullaris parahippocampalis",0,0,,,,,,
"inferior olive, subnucleus b of medial nucleus",0,0,,,,,,
"thalamus sensory-motor cortex related",1,0,"Thalamus, sensory-motor cortex related",,,"http://mouse.brain-map.org/atlas/index.html#DORsm",,
"tractus corticospinalis  lateralis",0,0,,,,,,
"nucleus suprachiasmaticus hypothalami",0,0,,,,,,
"ventrolateral tegmental area",0,0,,,,,,
"posterior descending limb of lateral sulcus",0,0,,,,,,
"globus pallidus lateral segment",1,0,"Globus pallidus, external segment",,,"http://mouse.brain-map.org/atlas/index.html#GPe",,
"mammilloinfundibular nucleus",0,0,,,,,,
"nucleus corporis mamillaris medialis, pars medialis",0,0,,,,,,
"lateral nucleus of the amygdala",1,0,"Lateral amygdalar nucleus",,,"http://mouse.brain-map.org/atlas/index.html#LA",,
"lateral septal nucleus, rostral part, dorsolateral zone, lateral region, dorsal domain",0,0,,,,,,
"central nucleus of amygdala capsular part",1,0,"Central amygdalar nucleus, capsular part",,,"http://mouse.brain-map.org/atlas/index.html#CEAc",,
"gyrus annectens",0,0,,,,,,
"tractus spinalis nervi trigemini",0,0,,,,,,
"recessus prepontinus fossae intercruralis",0,0,,,,,,
"reticular activating system",0,0,,,,,,
"lateral septal nucleus, rostral part, ventrolateral zone, dorsal region, lateral domain",0,0,,,,,,
"spinal nucleus of the trigeminal nerve, caudal part",0,0,,,,,,
"fornix cerebri",0,0,,,,,,
"anterior horn nuclear group",0,0,,,,,,
"caudal nucleus of zona incerta",1,1,"Zona incerta",,,"http://mouse.brain-map.org/atlas/index.html#ZI",,
"precommissural hippocampus",0,0,,,,,,
"substantia medullaris cerebri",0,0,,,,,,
"nuclei tuberis lateralis",0,0,,,,,,
"stria diagonalis",0,0,,,,,,
"taenia tecta",1,0,"Taenia tecta",,,"http://mouse.brain-map.org/atlas/index.html#TT",,
"deiter's nucleus",0,0,,,,,,
"trapezoid body",0,0,,,,,,
"third ventricle mamillary recess",0,0,,,,,,
"ventral portion of claustrum",1,1,"Claustrum",,,"http://mouse.brain-map.org/atlas/index.html#CLA",,
"ventral posteromedial nucleus, parvocellular part",0,0,,,,,,
"median preoptic nucleus",2,0,"Medial preoptic area","Median preoptic nucleus",,"http://mouse.brain-map.org/atlas/index.html#MPO","http://mouse.brain-map.org/atlas/index.html#MEPO",
"medial transverse frontopolar gyrus",0,0,,,,,,
"intralaminar thalamic nuclei",0,0,,,,,,
"nucleus intercalatus of medulla",0,0,,,,,,
"nervous system",0,0,,,,,,
"gyrus parietalis occipitalis",0,0,,,,,,
"reticular formation of midbrain",0,0,,,,,,
"tenia thalami",0,0,,,,,,
"amygdaloid nucleus",0,0,,,,,,
"sulcus parieto-occipitalis anterior",0,0,,,,,,
"myomeric efferents",0,0,,,,,,
"nucleus anterior dorsalis",1,0,"Anterodorsal nucleus",,,"http://mouse.brain-map.org/atlas/index.html#AD",,
"inferior olive",0,0,,,,,,
"peduncle of flocculus",0,0,,,,,,
"cortical nucleus of the amygdala, anterior part",0,0,,,,,,
"field ca3 stratum lucidum",1,0,"Field CA3, stratum lucidum",,,"http://mouse.brain-map.org/atlas/index.html#CA3slu",,
"lamina medullaris externa",0,0,,,,,,
"subnucleus compactus, pars beta",0,0,,,,,,
"interstitial nucleus of mammillary peduncle",0,0,,,,,,
"long gyrus of insula",0,0,,,,,,
"inferior part of precentral fissure",0,0,,,,,,
"fibrae parietopontinae",0,0,,,,,,
"sulcus post-olivaris",0,0,,,,,,
"ventricular systems",0,0,,,,,,
"genu of the facial nerve",0,0,,,,,,
"cingulate white matter",0,0,,,,,,
"caudal colliculus",0,0,,,,,,
"gyrus centralis posterior secundus",0,0,,,,,,
"primary somatosensory cortex, forelimb region",0,0,,,,,,
"stria olfactoria medialis",0,0,,,,,,
"vascular organ of the lamina terminalis",1,0,"Vascular organ of the lamina terminalis",,,"http://mouse.brain-map.org/atlas/index.html#OV",,
"supplementary motor area",0,0,,,,,,
"midbrain-hindbrain, motor, neck",0,0,,,,,,
"nucleus tegmentalis anterior",0,0,,,,,,
"lobulus parietalis superior",0,0,,,,,,
"bed nucleus of the stria terminalis, posterolateral part",0,0,,,,,,
"nucleus salivatorius inferior nervi glossopharyngei",0,0,,,,,,
"lateral hypothalamic zone",1,0,"Hypothalamic lateral zone",,,"http://mouse.brain-map.org/atlas/index.html#LZ",,
"retina, inner nuclear layer",0,0,,,,,,
"globus pallidus, lamina medullaris  interna",0,0,,,,,,
"granular layer of dentate gyrus",1,0,"Dentate gyrus, granule cell layer",,,"http://mouse.brain-map.org/atlas/index.html#DG-sg",,
"recessus epiphysis",0,0,,,,,,
"trigonum nervi vagi",0,0,,,,,,
"preoptic periventricular nucleus",0,0,,,,,,
"lambdoid zone of the septum",0,0,,,,,,
"field h1",0,0,,,,,,
