	Pmid	TableID	NeuronLongName	NeuroLEXID	NeuroNERAnnots
12	24554724.0	36340.0	Auditory Cortex layer 2-3 pyramidal cell		[ABA_REGION:247, HBP_LAYER:0000111, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell]
13	24904071.0	36087.0	Dorsolateral Prefrontal Cortex pyramidal cell layer 3 neuron		[UNKN_REGION:34, ABA_REGION:714, HBP_MORPHOLOGY:0000001, Missing:cell, NeuronTrigger:cell, HBP_LAYER:0000003, NeuronTrigger:neuron]
14	25376786.0	49124.0	Neostriatum medium spiny neuron	nifext_141	[ABA_REGION:672, Size:medium, HBP_MORPHOLOGY:0000011, NeuronTrigger:neuron]
15	25450961.0	47710.0	Vestibular ganglion cell	nifext_66	[UNKN_REGION:4412, NeuronTrigger:cell]
16	25568159.0	49056.0	Somatosensory cortex layer 2/3 pyramidal neurons		[ABA_REGION:453, HBP_LAYER:0000111, HBP_MORPHOLOGY:0000001, NeuronTrigger:neurons]
17	25568159.0	49056.0	Somatosensory cortex layer 5a Etv1-expressing slender-tufted pyramidal neurons		[ABA_REGION:453, HBP_LAYER:0000050, NCBI_GENE:14009, HBP_MORPHOLOGY:0000015, HBP_MORPHOLOGY:0000001, NeuronTrigger:neurons]
18	25568159.0	49053.0	Somatosensory cortex layer 5b Glt25d2-expressing thick-tufted pyramidal neurons 		[ABA_REGION:453, HBP_LAYER:0000051, NCBI_GENE:269132, HBP_MORPHOLOGY:0000014, HBP_MORPHOLOGY:0000001, NeuronTrigger:neurons]
19	25568159.0	49054.0	somatosensory cortex layer 2/3 pyramidal neurons		[ABA_REGION:453, HBP_LAYER:0000111, HBP_MORPHOLOGY:0000001, NeuronTrigger:neurons]
20	25568159.0	49053.0	somatosensory cortex layer 2/3 pyramidal neurons 		[ABA_REGION:453, HBP_LAYER:0000111, HBP_MORPHOLOGY:0000001, NeuronTrigger:neurons]
21	25568159.0	49054.0	somatosensory cortex layer 5a Etv1-expressing slender-tufted pyramidal cell		[ABA_REGION:453, HBP_LAYER:0000050, NCBI_GENE:14009, HBP_MORPHOLOGY:0000015, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell]
22	25568159.0	49053.0	somatosensory cortex layer 5a Etv1-expressing slender-tufted pyramidal neurons 		[ABA_REGION:453, HBP_LAYER:0000050, NCBI_GENE:14009, HBP_MORPHOLOGY:0000015, HBP_MORPHOLOGY:0000001, NeuronTrigger:neurons]
23	25589764.0	46620.0	Trigeminal nucleus predicted fast fatigable motoneurons		[ABA_REGION:429, Missing:predicted, HBP_EPHYS:0000080, Missing:fatigable, NeuronTrigger:motoneurons, HBP_NEUROTRANSMITTER:0000005]
24	25589764.0	46620.0	Trigeminal nucleus predicted fast fatigue resistant  motoneurons		[ABA_REGION:429, Missing:predicted, HBP_EPHYS:0000080, Missing:fatigue resistant, Missing:, NeuronTrigger:motoneurons, HBP_NEUROTRANSMITTER:0000005]
25	25589764.0	46620.0	Trigeminal nucleus predicted slow motoneurons		[ABA_REGION:429, Missing:predicted, HBP_EPHYS:0000100, NeuronTrigger:motoneurons, HBP_NEUROTRANSMITTER:0000005]
26	25589764.0	46621.0	oculomotor predicted fast neurons		[Missing:oculomotor predicted, HBP_EPHYS:0000080, NeuronTrigger:neurons]
27	25589764.0	46621.0	oculomotor predicted slow neurons		[Missing:oculomotor predicted, HBP_EPHYS:0000100, NeuronTrigger:neurons]
28	25592424.0	47963.0	Primary motor cortex layer 5 pyramidal cell		[ABA_REGION:985, HBP_LAYER:0000005, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell]
29	25609625.0	46626.0	 barrel cortex layer 2/3 neuropeptide Y expressing interneuron		[ABA_REGION:329, HBP_LAYER:0000111, NCBI_GENE:109648, NeuronTrigger:interneuron]
30	25609625.0	46626.0	 barrel cortex layer 2/3 vasoactive intestinal peptide expressing interneuron		[ABA_REGION:329, HBP_LAYER:0000111, NCBI_GENE:22355, NeuronTrigger:interneuron]
31	25609625.0	46626.0	 barrel cortex layer 5 somatostatin expressing interneuron		[ABA_REGION:329, HBP_LAYER:0000005, NCBI_GENE:20604, NeuronTrigger:interneuron]
32	25609625.0	46626.0	Neocortex pyramidal cell layer 2-3	nifext_49	[ABA_REGION:315, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell, HBP_LAYER:0000111]
33	25609625.0	46626.0	barrel cortex layer 2/3 parvalbumin expressing interneuron		[ABA_REGION:329, HBP_LAYER:0000111, NCBI_GENE:19293, NeuronTrigger:interneuron]
34	25609625.0	46626.0	barrel cortex layer 2/3 somatostatin expressing interneuron		[ABA_REGION:329, HBP_LAYER:0000111, NCBI_GENE:20604, NeuronTrigger:interneuron]
35	25609625.0	46626.0	barrel cortex layer 5 intrinsically bursting pyramidal cells		[ABA_REGION:329, HBP_LAYER:0000005, HBP_EPHYS:0000040, HBP_EPHYS_TRIGGER:0000005, HBP_MORPHOLOGY:0000001, NeuronTrigger:cells]
36	25609625.0	46626.0	barrel cortex layer 5 parvalbumin expressing interneuron		[ABA_REGION:329, HBP_LAYER:0000005, NCBI_GENE:19293, NeuronTrigger:interneuron]
37	25609625.0	46626.0	barrel cortex layer 5 regular spiking pyramidal cells		[ABA_REGION:329, HBP_LAYER:0000005, HBP_EPHYS:0000001, HBP_EPHYS_TRIGGER:0000003, HBP_MORPHOLOGY:0000001, NeuronTrigger:cells]
38	25689857.0	44799.0	Dentate gyrus granule cell	nlx_anat_1008005	[ABA_REGION:726, HBP_MORPHOLOGY:0000026, NeuronTrigger:cell]
39	25707266.0	45285.0	dorsal prelimbic medial prefrontal cortex pyramidal neuron 		[UNKN_REGION:7262, UNKN_REGION:97, ABA_REGION:714, HBP_MORPHOLOGY:0000001, NeuronTrigger:neuron]
40	25712572.0	45479.0	laterodorsal tegmental nucleus burst-firing cholinergic neuron		[ABA_REGION:162, HBP_EPHYS_TRIGGER:0000005, HBP_EPHYS_TRIGGER:0000004, HBP_NEUROTRANSMITTER:0000005, NeuronTrigger:neuron]
41	25712572.0	45479.0	laterodorsal tegmental nucleus regular-firing cholinergic neuron		[ABA_REGION:162, HBP_EPHYS:0000001, HBP_EPHYS_TRIGGER:0000004, HBP_NEUROTRANSMITTER:0000005, NeuronTrigger:neuron]
42	25766678.0	48154.0	Reticular Nucleus of the Thalamus GABAergic Neuron		[ABA_REGION:262, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:Neuron]
43	25795599.0	47576.0	Hippocampus CA1 stratum radiatum pyramidal immunized with ovalbumin neurons 		[ABA_REGION:382, UNKN_REGION:1407, HBP_MORPHOLOGY:0000001, Missing:immunized with ovalbumin, NeuronTrigger:neurons]
44	25798106.0	48933.0	Hippocampus CA3 pyramidal cell	nlx_36816	[ABA_REGION:463, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell]
45	25798106.0	48933.0	hippocampus CA1 cholinergic interneuron		[ABA_REGION:382, HBP_NEUROTRANSMITTER:0000005, NeuronTrigger:interneuron]
46	25798106.0	48933.0	hippocampus CA3 cholinergic interneuron		[ABA_REGION:463, HBP_NEUROTRANSMITTER:0000005, NeuronTrigger:interneuron]
47	25798106.0	48933.0	medial septum-diagonal band of Broca cholinergic interneuron		[ABA_REGION:342, UNKN_REGION:3038, HBP_NEUROTRANSMITTER:0000005, NeuronTrigger:interneuron]
48	25808645.0	45382.0	prepositus hypoglossal nucleus ChAT expressing cholinergic neuron		[ABA_REGION:169, NCBI_GENE:12647, HBP_NEUROTRANSMITTER:0000005, NeuronTrigger:neuron]
49	25808645.0	45382.0	prepositus hypoglossal nucleus VGAT expressing ChAT expressing cholinergic neuron		[ABA_REGION:169, NCBI_GENE:22348, NCBI_GENE:12647, HBP_NEUROTRANSMITTER:0000005, NeuronTrigger:neuron]
50	25808645.0	45382.0	prepositus hypoglossal nucleus VGAT expressing GABAergic neuron		[ABA_REGION:169, NCBI_GENE:22348, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:neuron]
51	25808645.0	45382.0	prepositus hypoglossal nucleus non-GABAergic non-cholinergeric neuron		[ABA_REGION:169, Missing:non-, HBP_NEUROTRANSMITTER:0000003, Missing:non-cholinergeric, NeuronTrigger:neuron]
52	25852483.0	27561.0	Cerebellum granule cell	nifext_128	[ABA_REGION:512, HBP_MORPHOLOGY:0000026, NeuronTrigger:cell]
53	25859181.0	27502.0	Hippocampus GluN2D-EGFP-positive interneuron		[ABA_REGION:1080, HBP_NEUROTRANSMITTER:0000004, Missing:N2D-EGFP-, Function:positive, NeuronTrigger:interneuron]
54	25865337.0	45660.0	neostriatum fast-adapting GABAergic interneuron		[ABA_REGION:672, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000008, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:interneuron]
55	25865337.0	45660.0	neostriatum fast-spiking PV-expressing GABAergic interneuron		[ABA_REGION:672, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000003, NCBI_GENE:19293, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:interneuron]
56	25865337.0	45660.0	neostriatum neuropeptide-Y-expressing neurogliaform GABAergic interneuron		[ABA_REGION:672, Missing:neuropeptide-Y-expressing, HBP_MORPHOLOGY:0000020, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:interneuron]
57	25865337.0	45660.0	neostriatum non-fast-adapting GABAergic interneuron 		[ABA_REGION:672, HBP_EPHYS:0000090, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000008, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:interneuron]
58	25874555.0	36534.0	Subiculum intrinsically bursting principal neuron projecting to presubiculum		[ABA_REGION:502, HBP_EPHYS:0000040, HBP_EPHYS_TRIGGER:0000005, Function:principal, NeuronTrigger:neuron, Missing:projecting to, ABA_REGION:1084]
59	25874555.0	36534.0	Subiculum regular spiking principal neuron projecting to entorhinal cortex		[ABA_REGION:502, HBP_EPHYS:0000001, HBP_EPHYS_TRIGGER:0000003, Function:principal, NeuronTrigger:neuron, Missing:projecting to, ABA_REGION:909]
60	25874555.0	36535.0	subiculum intrinsically bursting pyramidal cells		[ABA_REGION:502, HBP_EPHYS:0000040, HBP_EPHYS_TRIGGER:0000005, HBP_MORPHOLOGY:0000001, NeuronTrigger:cells]
61	25874555.0	36535.0	subiculum regular spiking pyramidal cell		[ABA_REGION:502, HBP_EPHYS:0000001, HBP_EPHYS_TRIGGER:0000003, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell]
62	25878286.0	46711.0	dorsal frontal cortex layer 2/3 Tbr2 expressing pyramidal cell		[UNKN_REGION:7262, ABA_REGION:714, HBP_LAYER:0000111, Missing:Tbr2 expressing, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell]
63	25878286.0	46711.0	dorsal frontal cortex layer 2/3 non-Tbr2 expressing pyramidal cell		[UNKN_REGION:7262, ABA_REGION:714, HBP_LAYER:0000111, Missing:non-Tbr2 expressing, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell]
64	25878292.0	46519.0	Hippocampus CA1 pyramidal cell	sao830368389	[ABA_REGION:382, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell]
65	25926446.0	46549.0	external globus pallidus arkypallidal FoxP2 expressing cell		[ABA_REGION:1022, Missing:arkypallidal, NCBI_GENE:114142, NeuronTrigger:cell]
66	25926446.0	46549.0	external globus pallidus prototypic cell		[ABA_REGION:1022, Missing:prototypic, NeuronTrigger:cell]
67	25926446.0	46549.0	external globus pallidus prototypic parvalbumin-expressing cell		[ABA_REGION:1022, Missing:prototypic, NCBI_GENE:19293, NeuronTrigger:cell]
68	25972585.0	49481.0	Somatosensory cortex layer 4 fast-spiking parvalbumin-containing interneurons 		[ABA_REGION:453, HBP_LAYER:0000004, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000003, NCBI_GENE:19293, NeuronTrigger:interneurons]
69	25972585.0	49481.0	Somatosensory cortex layer 4 somatostatin-containing interneurons		[ABA_REGION:453, HBP_LAYER:0000004, NCBI_GENE:20604, NeuronTrigger:interneurons]
70	25972785.0	27500.0	Infralimbic cortex layer 2 pyramidal neuron projecting to basolateral amygdala		[ABA_REGION:44, HBP_LAYER:0000002, HBP_MORPHOLOGY:0000001, NeuronTrigger:neuron, Missing:projecting to, ABA_REGION:295]
71	25972785.0	27500.0	Infralimbic cortex layer 3/5 pyramidal neuron projecting to basolateral amygdala		[ABA_REGION:44, HBP_LAYER:0000003, Missing:/5, HBP_MORPHOLOGY:0000001, NeuronTrigger:neuron, Missing:projecting to, ABA_REGION:295]
72	25972785.0	27500.0	Infralimbic cortex layer 5 pyramidal neuron projecting to periaqueductal gray		[ABA_REGION:44, HBP_LAYER:0000005, HBP_MORPHOLOGY:0000001, NeuronTrigger:neuron, Missing:projecting to, ABA_REGION:795]
73	26041909.0	47274.0	medial septum/diagonal band of Broca complex septo-hippocampal cholinergic neuron		[ABA_REGION:342, UNKN_REGION:3038, Missing:complex septo-, ABA_REGION:1080, HBP_NEUROTRANSMITTER:0000005, NeuronTrigger:neuron]
74	26041909.0	47274.0	medial septum/diagonal band of Broca complex septo-hippocampal parvalbumin-positive GABAergic neuron		[ABA_REGION:342, UNKN_REGION:3038, Missing:complex septo-, ABA_REGION:1080, NCBI_GENE:19293, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:neuron]
75	26109660.0	47313.0	Thalamus dorsal medial geniculate nucleus neuron		[ABA_REGION:549, Missing:dorsal, ABA_REGION:475, NeuronTrigger:neuron]
76	26109660.0	47313.0	Thalamus ventral medial geniculate nucleus neuron		[ABA_REGION:549, Missing:ventral, ABA_REGION:475, NeuronTrigger:neuron]
77	26134647.0	47308.0	Amygdala basolateral nucleus pyramidal neuron	nifext_152	[ABA_REGION:295, HBP_MORPHOLOGY:0000001, NeuronTrigger:neuron]
78	26311764.0	47300.0	barrel cortex GABAergic interneuron		[ABA_REGION:329, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:interneuron]
79	26311764.0	47300.0	barrel cortex layer 2-3 pyramidal cell		[ABA_REGION:329, HBP_LAYER:0000111, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell]
80	26311767.0	47266.0	External globus pallidus Lhx6 expressing neurons		[ABA_REGION:1022, NCBI_GENE:16874, NeuronTrigger:neurons]
81	26311767.0	47266.0	External globus pallidus Npas1-expressing neurons projecting to striatum		[ABA_REGION:1022, Missing:Npas1-expressing, NeuronTrigger:neurons, Missing:projecting to, ABA_REGION:672]
82	26311767.0	47266.0	External globus pallidus choline acetyltransferase expressing neurons		[ABA_REGION:1022, NCBI_GENE:12647, NeuronTrigger:neurons, HBP_NEUROTRANSMITTER:0000005]
83	26311767.0	47266.0	external globus pallidus parvalbumin-expressing neurons projecting to subthalamic nucleus		[ABA_REGION:1022, NCBI_GENE:19293, NeuronTrigger:neurons, Missing:projecting to, ABA_REGION:470]
84	26354921.0	47337.0	Auditory cortex layer 2/3 parvalbumin-expressing GABAergic interneurons		[ABA_REGION:247, HBP_LAYER:0000111, NCBI_GENE:19293, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:interneurons]
85	26354921.0	47337.0	Auditory cortex layer 2/3 pyramidal excitatory neurons 		[ABA_REGION:247, HBP_LAYER:0000111, HBP_MORPHOLOGY:0000001, Function:excitatory, NeuronTrigger:neurons]
86	26354921.0	47337.0	Auditory cortex layer 2/3 somatostatin-expressing GABAergic interneurons		[ABA_REGION:247, HBP_LAYER:0000111, NCBI_GENE:20604, HBP_NEUROTRANSMITTER:0000003, NeuronTrigger:interneurons]
87	26377466.0	47329.0	prefrontal cortex layer 6 pyramidal neuron		[ABA_REGION:714, HBP_LAYER:0000006, HBP_MORPHOLOGY:0000001, NeuronTrigger:neuron]
88	26420784.0	48876.0	Barrel cortex layer 1 vasoactive intestinal polypeptide expressing neurons		[ABA_REGION:329, HBP_LAYER:0000001, NCBI_GENE:22353, NeuronTrigger:neurons]
89	26420784.0	48876.0	Barrel cortex layer 2/3 vasoactive intestinal polypeptide expressing neurons		[ABA_REGION:329, HBP_LAYER:0000111, NCBI_GENE:22353, NeuronTrigger:neurons]
90	26420784.0	48876.0	"Barrel cortex layer 4 vasoactive intestinal polypeptide expressing neurons
"		[ABA_REGION:329, HBP_LAYER:0000004, NCBI_GENE:22353, NeuronTrigger:neurons, Missing:]
91	26420784.0	48876.0	"Barrel cortex layer 5a vasoactive intestinal polypeptide expressing neurons
"		[ABA_REGION:329, HBP_LAYER:0000050, NCBI_GENE:22353, NeuronTrigger:neurons, Missing:]
92	26420784.0	48876.0	"Barrel cortex layer 5b vasoactive intestinal polypeptide expressing neurons
"		[ABA_REGION:329, HBP_LAYER:0000051, NCBI_GENE:22353, NeuronTrigger:neurons, Missing:]
93	26420784.0	48876.0	"Barrel cortex layer 6 vasoactive intestinal polypeptide expressing neurons
"		[ABA_REGION:329, HBP_LAYER:0000006, NCBI_GENE:22353, NeuronTrigger:neurons, Missing:]
94	26490853.0	47254.0	Olfactory bulb (main) granule cell	nlx_407	[ABA_REGION:507, Missing:(main), HBP_MORPHOLOGY:0000026, NeuronTrigger:cell]
95	26490853.0	47254.0	Olfactory bulb deep short-axon cells		[ABA_REGION:507, Missing:deep, HBP_MORPHOLOGY:0000032, NeuronTrigger:cells]
96	26635530.0	48903.0	anterior piriform cortex layer 2 pyramidal cell		[UNKN_REGION:7299, ABA_REGION:961, HBP_LAYER:0000002, HBP_MORPHOLOGY:0000001, NeuronTrigger:cell]
97	26671462.0	48877.0	Visual cortex layer 5 Tlx3-expressing corticocortical regular spiking slender-tufted pyramidal neuron		[ABA_REGION:669, HBP_LAYER:0000005, NCBI_GENE:27140, HBP_PROJECTION:7323, HBP_EPHYS:0000001, HBP_EPHYS_TRIGGER:0000003, HBP_MORPHOLOGY:0000015, HBP_MORPHOLOGY:0000001, NeuronTrigger:neuron]
98	26671462.0	48877.0	visual cortex layer 5 Efr3a-expressing corticocortical cortico-nonstriatal projecting regular spiking slender-tufted pyramidal neuron		[ABA_REGION:669, HBP_LAYER:0000005, NCBI_GENE:76740, HBP_PROJECTION:7323, Missing:cortico-nonstriatal projecting, HBP_EPHYS:0000001, HBP_EPHYS_TRIGGER:0000003, HBP_MORPHOLOGY:0000015, HBP_MORPHOLOGY:0000001, NeuronTrigger:neuron]
99	26671462.0	48877.0	visual cortex layer 5 Glt25d2-expressing corticopontine intrinsically bursting thick-tufted pyramidal neuron		[ABA_REGION:669, HBP_LAYER:0000005, NCBI_GENE:269132, ABA_REGION:1003, HBP_EPHYS:0000040, HBP_EPHYS_TRIGGER:0000005, HBP_MORPHOLOGY:0000014, HBP_MORPHOLOGY:0000001, NeuronTrigger:neuron]
100	23551921.0	35997.0	primary motor cortex corticospinal pyramidal cells		[ABA_REGION:985, HBP_PROJECTION:22, HBP_MORPHOLOGY:0000001, NeuronTrigger:cells]
101	23551921.0	35997.0	secondary motor cortex corticospinal pyramidal cells		[ABA_REGION:993, Missing:corticospinal, HBP_MORPHOLOGY:0000001, NeuronTrigger:cells]
102	24037673.0	45718.0	 BNST anterolateral regular firing neuron		[Missing:BNST anterolateral, HBP_EPHYS:0000001, HBP_EPHYS_TRIGGER:0000004, NeuronTrigger:neuron]
103	24037673.0	45718.0	BNST anterolateral regular firing and burst firing neuron		[Missing:BNST anterolateral, HBP_EPHYS:0000001, HBP_EPHYS_TRIGGER:0000004, Missing:and, HBP_EPHYS_TRIGGER:0000005, HBP_EPHYS_TRIGGER:0000004, NeuronTrigger:neuron]
104	24166578.0	45942.0	Distal CA3 excitatory pyramidal neuron		[Missing:Distal, ABA_REGION:463, Function:excitatory, HBP_MORPHOLOGY:0000001, NeuronTrigger:neuron]
105	24166578.0	45942.0	Hippocampus CA2 excitatory pyramidal neuron		[ABA_REGION:423, Function:excitatory, HBP_MORPHOLOGY:0000001, NeuronTrigger:neuron]
106	24166578.0	45942.0	proximal CA1 pyramidal excitatory neuron		[Missing:proximal, ABA_REGION:382, HBP_MORPHOLOGY:0000001, Function:excitatory, NeuronTrigger:neuron]
107	24381268.0	46281.0	Bed nucleus of the stria terminalus anterolateral sector cell		[Missing:Bed nucleus of the stria terminalus anterolateral sector, NeuronTrigger:cell]
108	24397952.0	47587.0	Nucleus of the solitary tract intrinsic cell	nlx_51545	[ABA_REGION:651, HBP_EPHYS:0000040, NeuronTrigger:cell]
109	24478372.0	46586.0	Somatosensory cortex layer 1 cholinergic excitatory classical-accommodating cells		[ABA_REGION:453, HBP_LAYER:0000001, HBP_NEUROTRANSMITTER:0000005, Function:excitatory, HBP_EPHYS:0000050, HBP_EPHYS_TRIGGER:0000001, NeuronTrigger:cells]
110	24478372.0	46586.0	Somatosensory cortex layer 1 cholinergic excitatory neurogliaform cells 		[ABA_REGION:453, HBP_LAYER:0000001, HBP_NEUROTRANSMITTER:0000005, Function:excitatory, HBP_MORPHOLOGY:0000020, NeuronTrigger:cells]
111	24480365.0	47448.0	primary somatosensory cortex barrel field layer 4 parvalbumin expressing delayed firing fast spiking interneuron		[ABA_REGION:322, ABA_REGION:329, HBP_LAYER:0000004, NCBI_GENE:19293, HBP_EPHYS:0000020, HBP_EPHYS_TRIGGER:0000004, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000003, NeuronTrigger:interneuron]
112	24480365.0	47448.0	primary somatosensory cortex barrel field layer 4 parvalbumin expressing early onset firing fast spiking interneuron		[ABA_REGION:322, ABA_REGION:329, HBP_LAYER:0000004, NCBI_GENE:19293, Missing:early, Function:onset, HBP_EPHYS_TRIGGER:0000004, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000003, NeuronTrigger:interneuron]
113	24501350.0	46819.0	Lateral globus pallidus parvalbumin-expressing neurons		[ABA_REGION:1022, NCBI_GENE:19293, NeuronTrigger:neurons]
114	24501350.0	46819.0	Medial Globus pallidus Lhx6- expressing neurons		[ABA_REGION:1031, NCBI_GENE:16874, NeuronTrigger:neurons]
115	24574959.0	27436.0	Glutamatergic hippocampal autaptic neuron		[HBP_NEUROTRANSMITTER:0000004, ABA_REGION:1080, Missing:autaptic, NeuronTrigger:neuron]
116	24592213.0	27442.0	Dentate gyrus immature granule cell with rudimentary spikes		[ABA_REGION:726, HBP_DEVELOPMENTAL:0000010, HBP_MORPHOLOGY:0000026, NeuronTrigger:cell, Missing:with rudimentary spikes]
117	24592213.0	27442.0	Dentate gyrus more mature granule cell with overshooting action potentials		[ABA_REGION:726, Missing:more, HBP_DEVELOPMENTAL:0000002, HBP_MORPHOLOGY:0000026, NeuronTrigger:cell, Missing:with overshooting action potentials]
118	24593297.0	45520.0	Nucleus prepositus hypoglossi choline acetyltransferase expressing neuron		[ABA_REGION:169, NCBI_GENE:12647, NeuronTrigger:neuron, HBP_NEUROTRANSMITTER:0000005]
119	24593297.0	45521.0	Nucleus prepositus hypoglossi cholinergic projection neuron		[ABA_REGION:169, Missing:cholinergic, Function:projection, NeuronTrigger:neuron]
120	24593297.0	45520.0	medial vestibular nucleus choline acetyltransferase expressing neuron		[ABA_REGION:202, NCBI_GENE:12647, NeuronTrigger:neuron, HBP_NEUROTRANSMITTER:0000005]
121	24593297.0	45521.0	medial vestibular nucleus cholinergic projection neuron		[ABA_REGION:202, HBP_NEUROTRANSMITTER:0000005, Function:projection, NeuronTrigger:neuron]
122	24634648.0	27636.0	Basolateral amygdala principal neuron with input from medial prefrontal cortex		[ABA_REGION:295, Function:principal, NeuronTrigger:neuron, Missing:with, Function:input, Missing:from, ABA_REGION:714]
123	24634648.0	27636.0	Basolateral amygdala principal neurons with input from ventral hippocampus		[ABA_REGION:295, Function:principal, NeuronTrigger:neurons, Missing:with, Function:input, Missing:from, UNKN_REGION:7, ABA_REGION:1080]
124	24634648.0	27639.0	medial prefrontal cortex stimulated fast-spiking interneuron in basolateral amygdala		[ABA_REGION:714, Missing:stimulated, Missing:stimulated, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000003, NeuronTrigger:interneuron, Missing:in, ABA_REGION:295]
125	24634648.0	27639.0	medial prefrontal cortex stimulated interneuron in basolateral amygdala		[ABA_REGION:714, Missing:stimulated, Missing:stimulated, Missing:stimulated, Missing:stimulated, NeuronTrigger:interneuron, Missing:in, ABA_REGION:295]
126	24634648.0	27639.0	medial prefrontal cortex stimulated non-fast spiking interneuron in basolateral amygdala		[ABA_REGION:714, Missing:stimulated, Missing:stimulated, HBP_EPHYS:0000090, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000003, NeuronTrigger:interneuron, Missing:in, ABA_REGION:295]
127	24634648.0	27639.0	ventral hippocampus stimulated fast-spiking interneurons in basolateral amygdala		[UNKN_REGION:7, ABA_REGION:1080, Missing:stimulated, HBP_EPHYS:0000080, HBP_EPHYS_TRIGGER:0000003, NeuronTrigger:interneurons, Missing:in, ABA_REGION:295]
