neuron_name,region_UBERON,region_ABA,annotations_ABA,annotations_UBERON
Trigeminal predicted slow motoneurons,trigeminal,trigeminal,"[u'UNKN_REGION:8', 'Missing:predicted', u'HBP_EPHYS:0000100']","[u'UNKN_REGION:8', 'Missing:predicted', u'HBP_EPHYS:0000100']"
 barrel cortex layer 5 somatostatin expressing interneuron,SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000005', u'NCBI_GENE:20604']","[u'ABA_REGION:329', u'HBP_LAYER:0000005', u'NCBI_GENE:20604']"
barrel cortex layer 2/3 somatostatin expressing interneuron,SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000111', u'NCBI_GENE:20604']","[u'ABA_REGION:329', u'HBP_LAYER:0000111', u'NCBI_GENE:20604']"
barrel cortex layer 5 parvalbumin expressing interneuron,SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000005', u'NCBI_GENE:19293']","[u'ABA_REGION:329', u'HBP_LAYER:0000005', u'NCBI_GENE:19293']"
barrel cortex layer 2/3 parvalbumin expressing interneuron,SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000111', u'NCBI_GENE:19293']","[u'ABA_REGION:329', u'HBP_LAYER:0000111', u'NCBI_GENE:19293']"
 barrel cortex layer 2/3 vasoactive intestinal peptide expressing interneuron,SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000111', u'NCBI_GENE:22355']","[u'ABA_REGION:329', u'HBP_LAYER:0000111', u'NCBI_GENE:22355']"
 barrel cortex layer 2/3 neuropeptide Y expressing interneuron,SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000111', u'NCBI_GENE:109648']","[u'ABA_REGION:329', u'HBP_LAYER:0000111', u'NCBI_GENE:109648']"
Neocortex pyramidal cell layer 2-3,Isocortex,Isocortex,"[u'ABA_REGION:315', u'HBP_MORPHOLOGY:0000001', u'HBP_LAYER:0000111']","[u'ABA_REGION:315', u'HBP_MORPHOLOGY:0000001', u'HBP_LAYER:0000111']"
barrel cortex layer 5 intrinsically bursting pyramidal cells,SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000005', u'HBP_EPHYS:0000040', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:329', u'HBP_LAYER:0000005', u'HBP_EPHYS:0000040', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_MORPHOLOGY:0000001']"
barrel cortex layer 5 regular spiking pyramidal cells,SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000005', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:329', u'HBP_LAYER:0000005', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']"
laterodorsal tegmental nucleus burst-firing cholinergic neuron,LDT,LDT,"[u'ABA_REGION:162', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_EPHYS_TRIGGER:0000004', u'HBP_NEUROTRANSMITTER:0000005']","[u'ABA_REGION:162', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_EPHYS_TRIGGER:0000004', u'HBP_NEUROTRANSMITTER:0000005']"
laterodorsal tegmental nucleus regular-firing cholinergic neuron,LDT,LDT,"[u'ABA_REGION:162', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000004', u'HBP_NEUROTRANSMITTER:0000005']","[u'ABA_REGION:162', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000004', u'HBP_NEUROTRANSMITTER:0000005']"
hippocampus CA1 cholinergic interneuron,CA1,CA1,"[u'ABA_REGION:382', u'HBP_NEUROTRANSMITTER:0000005']","[u'ABA_REGION:382', u'HBP_NEUROTRANSMITTER:0000005']"
hippocampus CA3 cholinergic interneuron,CA3,CA3,"[u'ABA_REGION:463', u'HBP_NEUROTRANSMITTER:0000005']","[u'ABA_REGION:463', u'HBP_NEUROTRANSMITTER:0000005']"
Hippocampus CA3 pyramidal cell,CA3,CA3,"[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']"
medial septum-diagonal band of Broca cholinergic interneuron,MS diagonal band of broca,medial septum diagonal band of broca,"[u'ABA_REGION:564', u'UNKN_REGION:3038', u'HBP_NEUROTRANSMITTER:0000005']","[u'UNKN_REGION:14', u'UNKN_REGION:4176', u'UNKN_REGION:3038', u'HBP_NEUROTRANSMITTER:0000005']"
prepositus hypoglossi nucleus VGAT expressing GABAergic neuron,,,"['Missing:prepositus hypoglossi nucleus', u'NCBI_GENE:22348', u'HBP_NEUROTRANSMITTER:0000003']","['Missing:prepositus hypoglossi nucleus', u'NCBI_GENE:22348', u'HBP_NEUROTRANSMITTER:0000003']"
prepositus hypoglossi nucleus ChAT expressing cholinergic neuron,,,"['Missing:prepositus hypoglossi nucleus', u'NCBI_GENE:12647', u'HBP_NEUROTRANSMITTER:0000005']","['Missing:prepositus hypoglossi nucleus', u'NCBI_GENE:12647', u'HBP_NEUROTRANSMITTER:0000005']"
prepositus hypoglossi nucleus VGAT expressing ChAT expressing neuron,,,"['Missing:prepositus hypoglossi nucleus', u'NCBI_GENE:22348', u'NCBI_GENE:12647']","['Missing:prepositus hypoglossi nucleus', u'NCBI_GENE:22348', u'NCBI_GENE:12647']"
prepositus hypoglossi nucleus neuron,,,['Missing:prepositus hypoglossi nucleus'],['Missing:prepositus hypoglossi nucleus']
Hippocampus GluN2D-EGFP-positive interneuron,HPF,HIP,"[u'ABA_REGION:1089', u'HBP_NEUROTRANSMITTER:0000004', 'Missing:N2D-EGFP-', 'Function:positive']","[u'ABA_REGION:1080', u'HBP_NEUROTRANSMITTER:0000004', 'Missing:N2D-EGFP-', 'Function:positive']"
Hippocampus GluN2D-EGFP-positive interneuron,HPF,HIP,"[u'ABA_REGION:1089', u'HBP_NEUROTRANSMITTER:0000004', 'Missing:N2D-EGFP-', 'Function:positive']","[u'ABA_REGION:1080', u'HBP_NEUROTRANSMITTER:0000004', 'Missing:N2D-EGFP-', 'Function:positive']"
Hippocampus GluN2D-EGFP-positive interneuron,HPF,HIP,"[u'ABA_REGION:1089', u'HBP_NEUROTRANSMITTER:0000004', 'Missing:N2D-EGFP-', 'Function:positive']","[u'ABA_REGION:1080', u'HBP_NEUROTRANSMITTER:0000004', 'Missing:N2D-EGFP-', 'Function:positive']"
dorsal frontal cortex layer 2/3 Tbr2 expressing pyramidal cell,dorsal frontal cortex,dorsal ORB,"[u'UNKN_REGION:7262', u'UNKN_REGION:5116', u'HBP_LAYER:0000111', 'Missing:Tbr2 expressing', u'HBP_MORPHOLOGY:0000001']","[u'UNKN_REGION:7262', u'ABA_REGION:714', u'HBP_LAYER:0000111', 'Missing:Tbr2 expressing', u'HBP_MORPHOLOGY:0000001']"
dorsal frontal cortex layer 2/3 non-Tbr2 expressing pyramidal cell,dorsal frontal cortex,dorsal ORB,"[u'UNKN_REGION:7262', u'UNKN_REGION:5116', u'HBP_LAYER:0000111', 'Missing:non-Tbr2 expressing', u'HBP_MORPHOLOGY:0000001']","[u'UNKN_REGION:7262', u'ABA_REGION:714', u'HBP_LAYER:0000111', 'Missing:non-Tbr2 expressing', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
medial septum/diagonal band of Broca complex septo-hippocampal parvalbumin-positive GABAergic neuron,MS diagonal band of broca,medial septum diagonal band of broca HIP,"[u'ABA_REGION:564', u'UNKN_REGION:3038', 'Missing:complex septo-hippocampal', u'NCBI_GENE:19293', u'HBP_NEUROTRANSMITTER:0000003']","[u'UNKN_REGION:14', u'UNKN_REGION:4176', u'UNKN_REGION:3038', 'Missing:complex septo-', u'ABA_REGION:1080', u'NCBI_GENE:19293', u'HBP_NEUROTRANSMITTER:0000003']"
medial septum/diagonal band of Broca complex septo-hippocampal cholinergic neuron,MS diagonal band of broca,medial septum diagonal band of broca HIP,"[u'ABA_REGION:564', u'UNKN_REGION:3038', 'Missing:complex septo-hippocampal', u'HBP_NEUROTRANSMITTER:0000005']","[u'UNKN_REGION:14', u'UNKN_REGION:4176', u'UNKN_REGION:3038', 'Missing:complex septo-', u'ABA_REGION:1080', u'HBP_NEUROTRANSMITTER:0000005']"
Dorsal Thalamus medial geniculate nucleus neuron,dorsal thalamus MG,dorsal thalamus MG,"[u'UNKN_REGION:5331', u'ABA_REGION:475']","[u'UNKN_REGION:5331', u'ABA_REGION:475']"
Ventral Thalamus medial geniculate nucleus dorsal neuron,ventral thalamus MG dorsal,ventral thalamus MG dorsal,"[u'UNKN_REGION:5314', u'ABA_REGION:475', u'UNKN_REGION:7262']","[u'UNKN_REGION:5314', u'ABA_REGION:475', u'UNKN_REGION:7262']"
Amygdala basolateral nucleus pyramidal neuron,basolateral,BLA,"['Missing:Amygdala', u'UNKN_REGION:24', 'Missing:nucleus', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:295', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
external globus pallidus parvalbumin-expressing neurons projecting to subthalamic nucleus,GPe STN,GPe STN,"[u'ABA_REGION:1022', u'NCBI_GENE:19293', 'Missing:projecting to', u'ABA_REGION:470']","[u'ABA_REGION:1022', u'NCBI_GENE:19293', 'Missing:projecting to', u'ABA_REGION:470']"
External globus pallidus Npas1-expressing neurons projecting to striatum,GPe CP,GPe CP,"[u'ABA_REGION:1022', 'Missing:Npas1-expressing', 'Missing:projecting to', u'ABA_REGION:672']","[u'ABA_REGION:1022', 'Missing:Npas1-expressing', 'Missing:projecting to', u'ABA_REGION:672']"
External globus pallidus Lhx6 expressing neurons,GPe,GPe,"[u'ABA_REGION:1022', u'NCBI_GENE:16874']","[u'ABA_REGION:1022', u'NCBI_GENE:16874']"
External globus pallidus choline acetyltransferase expressing neurons,GPe,GPe,"[u'ABA_REGION:1022', u'NCBI_GENE:12647']","[u'ABA_REGION:1022', u'NCBI_GENE:12647']"
Auditory cortex layer 2/3 somatostatin-expressing GABAergic interneurons,AUD,AUD,"[u'ABA_REGION:247', u'HBP_LAYER:0000111', u'NCBI_GENE:20604', u'HBP_NEUROTRANSMITTER:0000003']","[u'ABA_REGION:247', u'HBP_LAYER:0000111', u'NCBI_GENE:20604', u'HBP_NEUROTRANSMITTER:0000003']"
Auditory cortex layer 2/3 parvalbumin-expressing GABAergic interneurons,AUD,AUD,"[u'ABA_REGION:247', u'HBP_LAYER:0000111', u'NCBI_GENE:19293', u'HBP_NEUROTRANSMITTER:0000003']","[u'ABA_REGION:247', u'HBP_LAYER:0000111', u'NCBI_GENE:19293', u'HBP_NEUROTRANSMITTER:0000003']"
Auditory cortex layer 2/3 pyramidal excitatory neurons ,AUD,AUD,"[u'ABA_REGION:247', u'HBP_LAYER:0000111', u'HBP_MORPHOLOGY:0000001', 'Function:excitatory']","[u'ABA_REGION:247', u'HBP_LAYER:0000111', u'HBP_MORPHOLOGY:0000001', 'Function:excitatory']"
prefrontal cortex layer 6 pyramidal neuron,prefrontal cortex,ORB,"[u'UNKN_REGION:5765', u'HBP_LAYER:0000006', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:714', u'HBP_LAYER:0000006', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA3 pyramidal cell,CA3,CA3,"[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA3 pyramidal cell,CA3,CA3,"[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA3 pyramidal cell,CA3,CA3,"[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA3 pyramidal cell,CA3,CA3,"[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']"
Barrel cortex layer 1 vasoactive intestinal polypeptide expressing neurons,SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000001', u'NCBI_GENE:22353']","[u'ABA_REGION:329', u'HBP_LAYER:0000001', u'NCBI_GENE:22353']"
"Barrel cortex layer 5b vasoactive intestinal polypeptide expressing neurons
",SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000051', u'NCBI_GENE:22353', 'Missing:']","[u'ABA_REGION:329', u'HBP_LAYER:0000051', u'NCBI_GENE:22353', 'Missing:']"
"Barrel cortex layer 5a vasoactive intestinal polypeptide expressing neurons
",SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000050', u'NCBI_GENE:22353', 'Missing:']","[u'ABA_REGION:329', u'HBP_LAYER:0000050', u'NCBI_GENE:22353', 'Missing:']"
Barrel cortex layer 2/3 vasoactive intestinal polypeptide expressing neurons,SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000111', u'NCBI_GENE:22353']","[u'ABA_REGION:329', u'HBP_LAYER:0000111', u'NCBI_GENE:22353']"
"Barrel cortex layer 4 vasoactive intestinal polypeptide expressing neurons
",SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000004', u'NCBI_GENE:22353', 'Missing:']","[u'ABA_REGION:329', u'HBP_LAYER:0000004', u'NCBI_GENE:22353', 'Missing:']"
"Barrel cortex layer 6 vasoactive intestinal polypeptide expressing neurons
",SSp-bfd,SSp-bfd,"[u'ABA_REGION:329', u'HBP_LAYER:0000006', u'NCBI_GENE:22353', 'Missing:']","[u'ABA_REGION:329', u'HBP_LAYER:0000006', u'NCBI_GENE:22353', 'Missing:']"
Olfactory bulb deep short-axon cells,,MOB,"['Function:Olfactory', 'Missing:bulb deep', u'HBP_MORPHOLOGY:0000032']","[u'ABA_REGION:507', 'Missing:deep', u'HBP_MORPHOLOGY:0000032']"
Olfactory bulb deep short-axon cells,,MOB,"['Function:Olfactory', 'Missing:bulb deep', u'HBP_MORPHOLOGY:0000032']","[u'ABA_REGION:507', 'Missing:deep', u'HBP_MORPHOLOGY:0000032']"
Olfactory bulb (main) granule cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000026']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000026']"
Olfactory bulb (main) granule cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000026']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000026']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
visual cortex layer 5 Glt25d2-expressing corticopontine pyramidal neuron,VIS,VIS cpt,"[u'ABA_REGION:669', u'HBP_LAYER:0000005', u'NCBI_GENE:269132', 'Missing:corticopontine', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:669', u'HBP_LAYER:0000005', u'NCBI_GENE:269132', u'ABA_REGION:1003', u'HBP_MORPHOLOGY:0000001']"
visual cortex layer 5 Efr3a-expressing corticocortical cortico-nonstriatal projecting pyramidal neuron,VIS,VIS,"[u'ABA_REGION:669', u'HBP_LAYER:0000005', u'NCBI_GENE:76740', 'HBP_PROJECTION:7323', 'Missing:cortico-nonstriatal projecting', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:669', u'HBP_LAYER:0000005', u'NCBI_GENE:76740', 'HBP_PROJECTION:7323', 'Missing:cortico-nonstriatal projecting', u'HBP_MORPHOLOGY:0000001']"
Visual cortex layer 5 Tlx3-expressing corticocortical pyramidal neuron,VIS,VIS,"[u'ABA_REGION:669', u'HBP_LAYER:0000005', u'NCBI_GENE:27140', 'HBP_PROJECTION:7323', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:669', u'HBP_LAYER:0000005', u'NCBI_GENE:27140', 'HBP_PROJECTION:7323', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA3 pyramidal cell,CA3,CA3,"[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']"
secondary motor cortex corticospinal pyramidal cells,MOs,secondary motor cortex,"[u'ABA_REGION:993', 'Missing:corticospinal', u'HBP_MORPHOLOGY:0000001']","[u'UNKN_REGION:3442', 'HBP_PROJECTION:22', u'HBP_MORPHOLOGY:0000001']"
primary motor cortex corticospinal pyramidal cells,MOp,MOp,"[u'ABA_REGION:985', 'HBP_PROJECTION:22', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:985', 'HBP_PROJECTION:22', u'HBP_MORPHOLOGY:0000001']"
 BNST anterolateral regular firing neuron,,,"['Missing:BNST anterolateral', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000004']","['Missing:BNST anterolateral', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000004']"
BNST anterolateral regular firing and burst firing neuron,,,"['Missing:BNST anterolateral', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000004', 'Missing:and', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_EPHYS_TRIGGER:0000004']","['Missing:BNST anterolateral', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000004', 'Missing:and', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_EPHYS_TRIGGER:0000004']"
proximal CA1 pyramidal excitatory neuron,CA1,CA1,"['Missing:proximal', u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001', 'Function:excitatory']","['Missing:proximal', u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001', 'Function:excitatory']"
Hippocampus CA2 excitatory pyramidal neuron,CA2,CA2,"[u'ABA_REGION:423', 'Function:excitatory', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:423', 'Function:excitatory', u'HBP_MORPHOLOGY:0000001']"
Distal CA3 excitatory pyramidal neuron,CA3,CA3,"['Missing:Distal', u'ABA_REGION:463', 'Function:excitatory', u'HBP_MORPHOLOGY:0000001']","['Missing:Distal', u'ABA_REGION:463', 'Function:excitatory', u'HBP_MORPHOLOGY:0000001']"
Bed nucleus of the stria terminalus anterolateral sector cell,,,['Missing:Bed nucleus of the stria terminalus anterolateral sector'],['Missing:Bed nucleus of the stria terminalus anterolateral sector']
Nucleus of the solitary tract intrinsic cell,NTS,NTS,"[u'ABA_REGION:651', u'HBP_EPHYS:0000040']","[u'ABA_REGION:651', u'HBP_EPHYS:0000040']"
Somatosensory cortex layer 1 cholinergic excitatory neurogliaform cells ,SS,SS,"[u'ABA_REGION:453', u'HBP_LAYER:0000001', u'HBP_NEUROTRANSMITTER:0000005', 'Function:excitatory', u'HBP_MORPHOLOGY:0000020']","[u'ABA_REGION:453', u'HBP_LAYER:0000001', u'HBP_NEUROTRANSMITTER:0000005', 'Function:excitatory', u'HBP_MORPHOLOGY:0000020']"
Somatosensory cortex layer 1 cholinergic excitatory classical-accommodating cells,SS,SS,"[u'ABA_REGION:453', u'HBP_LAYER:0000001', u'HBP_NEUROTRANSMITTER:0000005', 'Function:excitatory', u'HBP_EPHYS:0000050', u'HBP_EPHYS_TRIGGER:0000001']","[u'ABA_REGION:453', u'HBP_LAYER:0000001', u'HBP_NEUROTRANSMITTER:0000005', 'Function:excitatory', u'HBP_EPHYS:0000050', u'HBP_EPHYS_TRIGGER:0000001']"
primary somatosensory cortex barrel field layer 4 parvalbumin expressing delayed firing fast spiking interneuron,SSp SSp-bfd,SSp SSp-bfd,"[u'ABA_REGION:322', u'ABA_REGION:329', u'HBP_LAYER:0000004', u'NCBI_GENE:19293', u'HBP_EPHYS:0000020', u'HBP_EPHYS_TRIGGER:0000004', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:322', u'ABA_REGION:329', u'HBP_LAYER:0000004', u'NCBI_GENE:19293', u'HBP_EPHYS:0000020', u'HBP_EPHYS_TRIGGER:0000004', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
primary somatosensory cortex barrel field layer 4 parvalbumin expressing early onset firing fast spiking interneuron,SSp SSp-bfd,SSp SSp-bfd,"[u'ABA_REGION:322', u'ABA_REGION:329', u'HBP_LAYER:0000004', u'NCBI_GENE:19293', 'Missing:early', 'Function:onset', u'HBP_EPHYS_TRIGGER:0000004', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:322', u'ABA_REGION:329', u'HBP_LAYER:0000004', u'NCBI_GENE:19293', 'Missing:early', 'Function:onset', u'HBP_EPHYS_TRIGGER:0000004', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Glutamatergic hippocampal autaptic neuron,,HIP,"[u'HBP_NEUROTRANSMITTER:0000004', 'Missing:hippocampal autaptic']","[u'HBP_NEUROTRANSMITTER:0000004', u'ABA_REGION:1080', 'Missing:autaptic']"
Glutamatergic hippocampal autaptic neuron,,HIP,"[u'HBP_NEUROTRANSMITTER:0000004', 'Missing:hippocampal autaptic']","[u'HBP_NEUROTRANSMITTER:0000004', u'ABA_REGION:1080', 'Missing:autaptic']"
Dentate gyrus immature granule cell with rudimentary spikes,DG,DG,"[u'ABA_REGION:726', u'HBP_DEVELOPMENTAL:0000010', u'HBP_MORPHOLOGY:0000026', 'Missing:with rudimentary spikes']","[u'ABA_REGION:726', u'HBP_DEVELOPMENTAL:0000010', u'HBP_MORPHOLOGY:0000026', 'Missing:with rudimentary spikes']"
Dentate gyrus more mature granule cell with overshooting action potentials,DG,DG,"[u'ABA_REGION:726', 'Missing:more', u'HBP_DEVELOPMENTAL:0000002', u'HBP_MORPHOLOGY:0000026', 'Missing:with overshooting action potentials']","[u'ABA_REGION:726', 'Missing:more', u'HBP_DEVELOPMENTAL:0000002', u'HBP_MORPHOLOGY:0000026', 'Missing:with overshooting action potentials']"
medial vestibular nucleus choline acetyltransferase expressing neuron,MV,MV,"[u'ABA_REGION:202', u'NCBI_GENE:12647']","[u'ABA_REGION:202', u'NCBI_GENE:12647']"
medial vestibular nucleus cholinergic projection neuron,MV,MV,"[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000005', 'Function:projection']","[u'ABA_REGION:202', u'HBP_NEUROTRANSMITTER:0000005', 'Function:projection']"
Nucleus prepositus hypoglossi choline acetyltransferase expressing neuron,PRP,PRP,"[u'ABA_REGION:169', u'NCBI_GENE:12647']","[u'ABA_REGION:169', u'NCBI_GENE:12647']"
