,Label,Id,Definition,Neurotransmitter,Synonym,"Located in","Has role",Species,CellSomaShape,MolecularConstituents,ExampleImage
":Category:Adult dMP2 ILP7 neuron","Adult dMP2 ILP7 neuron",nlx_148840,"An adult dMP2 neuron that expresses ILP7. There are two per abdominal segment, all projecting to the hindgut. These projections have ILP7 positive swellings and connect to the anterior intestines and the rectum. Their terminals are also sites of ILP7 localization (Miguel-Aliaga et al., 2008).",,,,,,,,
":Category:Adult deuterocerebrum DC tachykinin neuron","Adult deuterocerebrum DC tachykinin neuron",nlx_149005,"Adult neuron that expresses tachykinin (FBgn0037976) whose cell body is located in the cortex of the anterior deuterocerebrum close to the antennal lobes. There are about 8 pairs of cell bodies per hemisphere (Winther et al., 2003).",,"adult TC1 neuron",,,,,,
":Category:Adult dorsomedial neurosecretory cell","Adult dorsomedial neurosecretory cell",nlx_149065,"Neurosecretory cell of the pars intercerebralis that extend ventrally and branch before exiting the brain. It extends thin branches laterally in the dorsal protocerebrum, shorter branches along the cell neurites in the dorsal part of the median bundle and extensive arborizations in the tritocerebrum (Enell et al., 2010). The two branches follow the aorta and innervate the corpus cardiacum in the ring gland and the hypocerebral ganglion, near the cardiac valve of the midgut. One of the branches follows the stalk of the crop, whilst the other bifurcates, with each of these branches extending along each side of the midgut (Cao and Brown, 2001). Located in a bilateral cell body cluster of five to seven cells in each hemisphere (Cao and Brown, 2001, Broughton et al., 2005).",,MNC,,,,,,
":Category:Adult labial interneuron","Adult labial interneuron",nlx_147747,,,,,,,,,
":Category:Adult labial motor neuron","Adult labial motor neuron",nlx_147752,,,,,,,,,
":Category:Adult labial sensory neuron","Adult labial sensory neuron",nlx_147739,,,,,,,,,
":Category:Adult lateral horn LHKL leucokinin neuron","Adult lateral horn LHKL leucokinin neuron",nlx_149017,"Adult neuron that expresses leucokinin (FBgn0028418) and whose large cell body is located in the lateral horn. Its thin processes run ventrally before bifurcating into two main collateral branches which innervate the superior lateral and median protocerebrum, the region around the mushroom body pedunculus and the mushroom body calyx. There is one neuron per hemisphere (de Haro et al., 2010).",,LHLK,,,,,,
":Category:Adult leucokinin SELK neuron of the subesophageal ganglion","Adult leucokinin SELK neuron of the subesophageal ganglion",nlx_149015,"Adult neuron that expresses leucokinin (FBgn0028418) whose cell body is located in the ventromedial subesophageal ganglion. The axon collaterals in the brain innervate the subesophageal ganglion ipsi- and contralaterally, the tritocerebrum and fasciculate with the maxillary and labral nerve. Four axons extend along the cervical connective to the ventral nerve cord. The axons that extend along the ventral nerve cord connect to the leucokinin ABLK neurons. There are two to three pairs of neurons (de Haro et al., 2010).",,"adult SELK neuron",,,,,,
":Category:Adult leucokinin neuron of the central nervous system","Adult leucokinin neuron of the central nervous system",nlx_149023,"An adult neuron that expresses leucokinin (FBgn0028418) and that is located in the central nervous system (de Haro et al., 2010).",,,,,,,,
":Category:Adult olfactory receptor neuron","Adult olfactory receptor neuron",nlx_148091,"Any olfactory receptor neuron (FBbt_00005926) that is part of some adult (FBbt_00003004).",,"adult odorant receptor neuron",,,,,,
":Category:Adult olfactory receptor neuron Ir64a","Adult olfactory receptor neuron Ir64a",nlx_148987,"Bilateral olfactory receptor neuron that expresses the ionotropic glutamate receptor (Ir) 64a (FBgn0035604) and the co-receptor Ir8a (FBgn0052704). Its axon branches, with one branch innervating the ipsilateral antennal lobe glomeruli DL4 and DP1 medial compartment and the other fasciculating with the antennal commissure and innervating the contralateral antennal lobe glomeruli DC4 and DP1 medial compartment (Ai et al., 2010, Silbering et al., 2011). Its dendrite transduces signals from the grooved sensillum of chamber III of the sacculus (Shanbhag et al., 1995).",,Ir64a,,,,,,
":Category:Adult optic lobe OL tachykinin neuron","Adult optic lobe OL tachykinin neuron",nlx_149006,"Adult neuron that expresses tachykinin (FBgn0037976) and whose cell body is located at the base of the optic lobe. There are about 10 pairs of cell bodies per hemisphere (Winther et al., 2003).",,"adult OL neuron",,,,,,
":Category:Adult pacemaker neuron","Adult pacemaker neuron",nlx_148513,"Pacemaker neuron that is part of the adult nervous system.",,,,,,,,
":Category:Adult protocerebral LPP1 tachykinin neuron","Adult protocerebral LPP1 tachykinin neuron",nlx_149003,"Adult neuron that expresses tachykinin (FBgn0037976) and  whose cell body is located in the posterior protocerebrum. One cluster of around 12 cell bodies is found per hemisphere (Winther et al., 2003).",,"adult LPP1 neuron",,,,,,
":Category:Adult protocerebral LPP2 tachykinin neuron","Adult protocerebral LPP2 tachykinin neuron",nlx_149002,"Adult neuron that expresses tachykinin (FBgn0037976), whose cell body is located in the lateral posterior protocerebrum and that innervates the superior median protocerebrum and the fan-shaped body. One cluster of around 10 cell bodies is found per hemisphere (Winther et al., 2003).",,"adult LPP2 neuron",,,,,,
":Category:Adult protocerebral MPP tachykinin neuron","Adult protocerebral MPP tachykinin neuron",nlx_149004,"Adult neuron that expresses tachykinin (FBgn0037976) and whose cell body is located in the median posterior protocerebrum. One cluster of around 3 cell bodies is found per hemisphere (Winther et al., 2003).",,"adult MPP neuron",,,,,,
":Category:Adult tachykinin neuron of the central nervous system","Adult tachykinin neuron of the central nervous system",nlx_149020,"An adult neuron that expresses tachykinin (FBgn0037976) and that is located in the central nervous system (Winther et al., 2003).",,,,,,,,
":Category:Adult tachykinin neuron of the thoracic-abdominal ganglion","Adult tachykinin neuron of the thoracic-abdominal ganglion",nlx_149010,"Adult neuron that expresses tachykinin (FBgn0037976) whose cell body is located in the thoracic-abdominal ganglion. There are 10 to 12 pairs in the prothoracic, 5 to 6 in the mesothoracic, 8 to 12 in the metathoracic and 1 to 2 in the abdominal neuromeres (Winther et al., 2003).",,,,,,,,
":Category:Adult tritocerebral TC1 tachykinin neuron","Adult tritocerebral TC1 tachykinin neuron",nlx_149009,"Adult neuron that expresses tachykinin (FBgn0037976), whose cell body is located in the tritocerebrum and which innervates, among other regions, the fan-shaped body. One cluster of around 16 cell bodies is found per hemisphere (Winther et al., 2003).",,"tritocerebral neuron TC1",,,,,,
":Category:Amacrine neuron","Amacrine neuron",nlx_158403,"A neuron characterized by amacrine extensions. Discovered first by Herophilus (335-263 BC) in the retina. Considered initially without axon, now they are commonly found in nerve nets, where they may have an axon and/or dendrite.
Adapted from Swanson, 2013.",,"amacrine cell",,":Category:Intrinsic neuron role",:Category:Vertebrata,,,
":Category:Aminergic neuron","Aminergic neuron",nlx_148084,"Any neuron (FBbt_00005106) that releases as a neurotransmitter, some amine (CHEBI:32952).",,,,,,,,
":Category:Amygdala basolateral nuclear complex nonpyramidal PV basket cell","Amygdala basolateral nuclear complex nonpyramidal PV basket cell",nlx_149090,"Multipolar nonpyramidal interneuron whose axon forms multiple synaptic contacts with the somata of numerous neighboring pyramidal cells. It is one of several parvalbumin-containing interneuronal subpopulations.",:Category:GABA,,":Category:Basolateral nuclear complex",":Category:Intrinsic neuron role",:Category:Mammal,"Category:Multipolar ",:Category:Parvalbumin,
":Category:Amygdala basolateral nuclear complex nonpyramidal PV chandelier cell","Amygdala basolateral nuclear complex nonpyramidal PV chandelier cell",nlx_149091,"Multipolar nonpyramidal interneuron whose axon forms multiple synaptic contacts with the axon initial segments of numerous neighboring pyramidal cells. It is one of several parvalbumin-containing interneuronal subpopulations.",:Category:GABA,"axo-axonic interneuron",":Category:Basolateral nuclear complex",":Category:Intrinsic neuron role",:Category:Mammal,"Category:Multipolar ",:Category:Parvalbumin,
":Category:Amygdala basolateral nuclear complex nonpyramidal SOM neuron","Amygdala basolateral nuclear complex nonpyramidal SOM neuron",nlx_149093,"Somatostatin-containing nonpyramidal neuron whose axon forms synaptic contacts with the distal dendrites and spines of neighboring pyramidal cells. Although generally considered an interneuron, at least some of these cells have distant axonal projections to the substantia innominata or entorhinal cortex. A subpopulation expresses neuropeptide Y.",:Category:GABA,,":Category:Basolateral nuclear complex",":Category:Intrinsic neuron role",:Category:Mammal,"Category:Fusiform ",:Category:Somatostatin,
":Category:Amygdala basolateral nuclear complex pyramidal neuron","Amygdala basolateral nuclear complex pyramidal neuron",nifext_152,"These neurons make up ~80-85% of neurons in the basolateral nuclear complex of the amygdala. Unlike cortical pyramidal cells, they are not arranged with parellel apical dendrites but are randomly organized.",:Category:Glutamate,"Pyramidal cell basolateral amygdalar nucleus,Amygdala basolateral nucleus pyramidal neuron",":Category:Basolateral nuclear complex",":Category:Principal neuron role",:Category:Mammal,"Category:Pyramidal ",":Category:Calcium calmodulin protein kinase II","File:Amygdala basolateral nucleus pyramidal neuron.JPG"
":Category:Amygdala intercalated nuclei small spiny neuron","Amygdala intercalated nuclei small spiny neuron",nlx_149095,"Small spiny principal neurons of the intercalated nuclei. These nuclei are clusters of neurons surrounding rostral portions of the basolateral nuclear complex. Some of these clusters are located adjacent to the external capsule or intermediate capsule (paracapsular intercalated nuclei).",:Category:GABA,"paracapsular intercalated cell (ITC)",":Category:Intercalated amygdaloid nuclei",":Category:Principal neuron role",:Category:Mammal,"Category:Spherical ",,
":Category:Amygdala lateral central nucleus medium spiny neuron","Amygdala lateral central nucleus medium spiny neuron",nlx_149094,"Medium-sized, multipolar, principal neuron found in lateral portions of the central nucleus. It has very spiny dendrites and closely resembles the medium spiny neuron of the adjacent striatum.",:Category:GABA,,":Category:Central amygdaloid nucleus",":Category:Principal neuron role",:Category:Mammal,"Category:Spherical ",":Category:Corticotropin releasing factor,:Category:Neurotensin,:Category:Somatostatin,:Category:Enkephalin",
":Category:Antennal lobe (Honey bee) interneuron","Antennal lobe (Honey bee) interneuron",nlx_151565,"Interglomerular local interneurons in the antennal lobe of the honey bee, Apis mellifera. Homoglomerular and heteroglomerular innervation patterns. Total of 4000 neurons, about two third GABA immunoreactive. Other transmitters possibly histamine and glutamate.",":Category:GABA,:Category:Histamine,:Category:Glutamate","Antennal lobe local interneuron",":Category:Antennal lobe",":Category:Intrinsic neuron role",":Category:Honey bee,:Category:Apis mellifera carnica","Category:Spherical ",,
":Category:Antennal lobe (Honey bee) principal neuron","Antennal lobe (Honey bee) principal neuron",nlx_151564,"Projection neuron of the honey bee, Apis mellifera,whose soma is located on the rind of the antennal lobe.The axons of uniglomerular projection neurons project to the mushroom body calyx and to the lateral horn in the protocerebral lobe.The axons of the multiglomerular projction neurons project to the protocebral lobe only.",:Category:Acetylcholine,"Antennal lobe principal neuron",":Category:Antennal lobe rind",":Category:Principal neuron role",":Category:Honey bee,:Category:Apis mellifera","Category:Spherical ",,
":Category:Antennal lobe (Manduca) interneuron","Antennal lobe (Manduca) interneuron",nlx_151689,"local interneuron in the tobacco hornworm moth, in neuronal cell groups at the border of the antennal lobe (mainly lateral group) that express various neuropeptides in subsets of LNs",:Category:GABA,"multiglomerular local interneuron",":Category:Antennal lobe",":Category:Intrinsic neuron role",":Category:Manduca sexta","Category:Spherical ",:Category:Neuropeptide,
":Category:Antennal lobe (Manduca) principal neuron","Antennal lobe (Manduca) principal neuron",nlx_151688,"uniglomerular principal neuron in the antennal lobe of the tobacco hornworm moth, in neuronal cell groups on the border of the antennal lobe, mainly medial and anterior cell groups.  It likely uses acetylcholine as a transmitter.  The axon projects to lateral protocerebrum with collaterals in the mushroom body.",:Category:Acetylcholine,"uniglomerular projection neuron,medial-antenno-protocerebral-tract projection neuron,inner-antennocerebral-tract projection neuron",":Category:Antennal lobe",":Category:Principal neuron role",":Category:Manduca sexta","Category:Spherical ",,
":Category:Antennal olfactory receptor neuron","Antennal olfactory receptor neuron",nlx_148073,"Odorant receptor neuron (ORN) whose dendrite transduces signals from some antennal sensillum. The axons of these neurons fasciculate in the antennal nerve and innervate the antennal lobe.",,"antennal ORN",,,,,,
":Category:Anteriolateral neurosecretory cell","Anteriolateral neurosecretory cell",nlx_147720,,,,,,,,,
":Category:Anterior crossvein campaniform sensillum neuron","Anterior crossvein campaniform sensillum neuron",nlx_148482,"Neuron associated with the wing anterior crossvein sensillum (Murray et al., 1984).",,"sensillum campaniformium of anterior crossvein neuron",,,,,,
":Category:Anterior fascicle sensory neuron","Anterior fascicle sensory neuron",nlx_146718,"Any sensory neuron (FBbt_00005124) that fasciculates with some intersegmental nerve (FBbt_00001997).",,,,,,,,
":Category:Aplysia buccal 15","Aplysia buccal 15",nlx_152508,"Accessory radular closure (ARC) muscle motor neuron.",:Category:Acetylcholine,,,,":Category:Aplysia californica",,,
":Category:Aplysia buccal 20","Aplysia buccal 20",nlx_152107,"pattern initiating neuron. Biases feeding motor patterns to rejection type.",:Category:Dopamine,,":Category:Aplysia buccal ganglia",,":Category:Aplysia californica",,,
":Category:Aplysia buccal 30","Aplysia buccal 30",nlx_152511,"aplysia buccal neuron that is active during protraction phase and promotes the expression of ingestion type activity motor patterns.",,,":Category:Aplysia buccal ganglia",,":Category:Aplysia californica",,,
":Category:Aplysia buccal 31","Aplysia buccal 31",nlx_152516,"Initiates feeding motor patterns. Active during the protraction phase of feeding motor patterns.",,"Aplysia buccal 31,Aplysia buccal 32",":Category:Aplysia buccal ganglia",,":Category:Aplysia californica",,,
":Category:Aplysia buccal 4","Aplysia buccal 4",nlx_152070,"Sensory motor neuron of the buccal ganglia.",:Category:Acetylcholine,"Aplysia buccal 5",":Category:Aplysia buccal ganglia",,":Category:Aplysia californica",,,
":Category:Aplysia buccal 51","Aplysia buccal 51",nlx_152108,"Active during the retraction phase of feeding motor patterns. Biases feeding motor patterns towards ingestion like.",,,":Category:Aplysia buccal ganglia",,":Category:Aplysia californica",,,
":Category:Aplysia buccal 61","Aplysia buccal 61",nlx_152510,"Intrinsic muscle 2 motor neuron. Mediates protraction of the radula.",,"Aplysia buccal 62,B62",":Category:Aplysia buccal ganglia",,":Category:Aplysia californica",,,
":Category:Aplysia buccal 8","Aplysia buccal 8",nlx_152509,"Motor neuron that innervates the I4 muscle to mediate radular closure.",,,":Category:Aplysia buccal ganglia",,":Category:Aplysia californica",,,
":Category:Aplysia cerebral ganglion metacerebral cell","Aplysia cerebral ganglion metacerebral cell",nlx_cell_20090313,"Largest Serotonergic Neuron in the anterior portion of the cerebral ganglion of Aplysia.  This neuron has axons that project to the buccal ganglion.",:Category:Serotonin,"Giant Serotonergic Neuron,Metacerebral cell",":Category:Cerebral ganglia",,:Category:Aplysia,,,"File:Aplysia cerebral ganglion metacerebral cell.jpg"
":Category:B1 motor neuron","B1 motor neuron",nlx_147776,,,,,,,,,
":Category:B2 motor neuron","B2 motor neuron",nlx_147778,,,,,,,,,
":Category:Basalis nucleus cholinergic neuron","Basalis nucleus cholinergic neuron",nlx_cell_20090203,"Large multipolar neuron (also described as polyhedral) found in the nucleus basalis of Meynert in the basal forebrain that uses acetylcholine as a neurotransmitter.  Most of the dendrites are very long giving a thick network of secondary and tertiary dendritic branches in a radial three dimensional arrangement in the neuropil space. The secondary and tertiary dendritic branches are studded with long fusiform or triangular spines (Baloyannis, S. J., Costa, V., Psaroulis, V., Arzoglou, L. Papsotiriou (1994) The nucleus basalis of Meynert of the human brain:  a Golgi and electron microscope study) Int J Neurosci., 78:  33-41.",:Category:Acetylcholine,"Cholinergic nucleus basalis cell,Nucleus basalis polyhedral neuron,Cholinergic nucleus basalis neuron",":Category:Bed nuclei of the stria terminalis oval nucleus",,:Category:Human,,,"File:Basalis nucleus cholinergic neuron.JPG"
":Category:Bed nucleus of the stria terminalis basket neuron","Bed nucleus of the stria terminalis basket neuron",BAMSC988,,,"bed nucleus of stria terminalis basket cell,bed nucleus of stria terminalis basket neuron,Bed nucleus of the stria terminalis basket neuron,BNST basket neuron",":Category:Bed nuclei of the stria terminalis oval nucleus",,:Category:Vertebrata,,,
":Category:Bed nucleus of the stria terminalis beaded neuron","Bed nucleus of the stria terminalis beaded neuron",BAMSC995,"Neuron located within the core of the nucleus (BSTov) that is termed a beaded neuron (BN) because of its rounded soma and numerous spherules along both dendrites and axon (Fig. 11). The soma measures from 12 to 17 micrometers in its widest axis and is nearly spherical, having a rather smooth profile. The soma issues two or three short primary dendrites, which usually run horizontally. After a short distance (10 to 40 micrometers), these proximal branches give rise to sets of two to five long, secondary dendrites. The occurrence of third to order dendrites is variable, as is their length (20 to 150 micrometers). A defining characteristic of BN dendrites is the presence of distinct varicosities that are virtually devoid of dendritic spines.  The BN axon and its collaterals also exhibit a series of small spherules (0.3-0.5 um) united by thin axonal bridges (Lariva-Sahd, 2006, as reported in  http://brancusi.usc.edu/bkms).",,"BNST beaded cell,BNST beaded neuron",":Category:Bed nuclei of the stria terminalis oval nucleus",,:Category:Vertebrata,,,
":Category:Bed nucleus of the stria terminalis common spiny neuron","Bed nucleus of the stria terminalis common spiny neuron",BAMSC991,,,"common spiny cell,BNST common spiny neuron",":Category:Bed nuclei of the stria terminalis oval nucleus",,:Category:Vertebrata,,,
":Category:Bed nucleus of the stria terminalis dense axon plexus-forming neuron","Bed nucleus of the stria terminalis dense axon plexus-forming neuron",BAMSC993,"Among the short to axon neurons, the neurogliaform (NG) and spinous neurogliaform (SNG) types have an extremely dense plexus, and both fall into the DAPF category (Jones, 1984). Both cell types are found in the upper half of the core of the Ov.",,"beaded cell,BNST dense axon plexus-forming neuron",":Category:Bed nuclei of the stria terminalis oval nucleus",,:Category:Vertebrata,,,
":Category:Bed nucleus of the stria terminalis small pyramidal neuron","Bed nucleus of the stria terminalis small pyramidal neuron",BAMSC987,,,"small pyramidal neuron,small pyramidal cell,BNST small pyramidal neuron)",":Category:Bed nucleus of the stria terminalis juxtacapsular nucleus,:Category:Bed nuclei of the stria terminalis juxtacapsular nucleus",,:Category:Vertebrata,,,
":Category:Bed nucleus of the stria terminalis spiny bipolar neuron","Bed nucleus of the stria terminalis spiny bipolar neuron",BAMSC986,,,"spiny bipolar neuron,spiny bipolar cell",":Category:Bed nuclei of the stria terminalis oval nucleus",,:Category:Vertebrata,,,
":Category:Bed nucleus of the stria terminalis spiny neuron with chandelier-like axon","Bed nucleus of the stria terminalis spiny neuron with chandelier-like axon",BAMSC992,,,"dense axon plexus forming neuron,dense axon plexus forming cell,BNST spiny neuron with chandelier-like axon",":Category:Bed nuclei of the stria terminalis oval nucleus",":Category:Intrinsic neuron role",:Category:Vertebrata,,,
":Category:Bed nucleus of the stria terminalis superficial spiny neuron","Bed nucleus of the stria terminalis superficial spiny neuron",BAMSC990,,,"superficial spiny cell,BNST superficial spiny neuron",":Category:Bed nuclei of the stria terminalis oval nucleus",,:Category:Vertebrata,,,
":Category:Bed nucleus of the stria terminalis triangular neuron","Bed nucleus of the stria terminalis triangular neuron",BAMSC989,,,"triangular cell,BNST triangular neuron",":Category:Bed nuclei of the stria terminalis oval nucleus",,:Category:Vertebrata,,,"File:BNST triangular neuron.jpg"
":Category:Bilateral intrinsic neuron","Bilateral intrinsic neuron",nlx_147700,"A midline crossing bilateral intrinsic neuron that projects only within some pair of bilaterally symmetric synaptic neuropil domains and their connecting tracts. For example within the left and right antennal lobes and antennal commissure.",,,,,,,,
":Category:Bipolar dendrite neuron","Bipolar dendrite neuron",nlx_147850,"Multidendritic neuron with bipolar dendrites that grow in opposite directions without major side branches. These neurons are located inside the body and are often associated with muscles.",,,,,,,,
":Category:Bipolar neuron of Bolwig nerve","Bipolar neuron of Bolwig nerve",nlx_146689,,,"bipolar neuron of Bolwig''s nerve",,,,,,
":Category:Campaniform sensillum L3-1 of wing vein L3 neuron","Campaniform sensillum L3-1 of wing vein L3 neuron",nlx_148488,"Neuron innervating the L3-1 campaniform sensillum of wing vein L3.",,,,,,,,
":Category:Campaniform sensillum L3-2 of wing vein L3 neuron","Campaniform sensillum L3-2 of wing vein L3 neuron",nlx_148489,"Neuron innervating the second, medially located campaniform sensillum of wing vein L3.",,,,,,,,
":Category:Campaniform sensillum L3-3 of wing vein L3 neuron","Campaniform sensillum L3-3 of wing vein L3 neuron",nlx_148490,"Neuron innervating the campaniform sensillum L3-3 of wing vein L3.",,,,,,,,
":Category:Carbon dioxide sensitive neuron","Carbon dioxide sensitive neuron",nlx_148454,"Neuron involved in the detection of carbon dioxide (GO:0003031).",,"CO2 sensitive neuron",,,,,,
":Category:Cerebellar deep nucleus principal neuron","Cerebellar deep nucleus principal neuron",nlx_151895,,,,":Category:Deep cerebellar nuclear complex",,:Category:Vertebrata,,,
":Category:Cerebellum Golgi cell","Cerebellum Golgi cell",sao1415726815,"Large intrinsic neuron located in the granule layer of the cerebellar cortex that extends its dendrites into the molecular layer where they receive contact from parallel fibers.  The axon of the Golgi cell enters ramifies densely in the granule layer and enters into a complex arrangement with mossy fiber terminals and granule cell dendrites to form the cerebellar glomerulus. Llinas, Walton and Lang. In The Synaptic Organization of the Brain. 5th ed. 2004.",:Category:GABA,"Cerebellar Golgi neuron,Cerebellar golgi cell",":Category:Granular layer of cerebellar cortex",,:Category:Vertebrata,"Category:Spherical ",,"File:Cerebellum Golgi cell.jpg"
":Category:Cerebellum Lugaro cell","Cerebellum Lugaro cell",nifext_133,"Type of neuron found in cerebellar granule cell layer characterized by a fusiform cell body with thick, horizontally oriented dendrites. Lugaro cells are located in or slightly below the Purkinje cell layer outermost edge of the granular layer.",:Category:GABA,,":Category:Cerebellum,:Category:Purkinje cell layer of cerebellar cortex,:Category:Granular layer of cerebellar cortex",,:Category:Vertebrata,,:Category:GABA,"File:Cerebellum Lugaro cell.jpg"
":Category:Cerebellum Purkinje cell","Cerebellum Purkinje cell",sao471801888,"Principal neuron (projection neuron) of the cerebellar cortex; cell bodies arranged in a single layer; characterized by a pear-shaped cell body, 1 (rarely 2) primary dendrites and an elaborate dendritic tree heavily invested with dendritic spines.",:Category:GABA,"Purkinje neuron,Purkinje's corpuscles,Cerebellar Purkinje neuron,Purkinje Cell,Purkyne cell,Corpuscles of Purkinje,cerebellar purkinje cell",":Category:Purkinje cell layer of cerebellar cortex",":Category:Principal neuron role",:Category:Mammal,"Category:Spherical ",,"File:Cerebellum Purkinje cell.gif"
":Category:Cerebellum basket cell","Cerebellum basket cell",sao666951243,"Intrinsic cell residing in the inner third of the molecular layer of the cerebellar cortex.  Axons extend laterally, transverse to the folium, and densely innervate the somata of Purkinje neurons.  Axon collaterals of the basket cell axon form the specialized terminal plexus, the ""pinceau"", around the Purkinje cell axon initial segment. Llinas, Walton and Lang.  In: The Synaptic Organization of the Brain.  5th ed. 2004.",:Category:GABA,"Cerebellar basket cell",":Category:Molecular layer of cerebellar cortex",":Category:Intrinsic neuron role",:Category:Vertebrata,,,
":Category:Cerebellum candelabrum cell","Cerebellum candelabrum cell",BAMSC981,"Neuron with perikaryon located inside the Purkinje cell layer. It is squeezed, either between the bulging parts of the PC somata or in the space left free between their upper poles, just at the level of the lower border of the molecular layer.",,"candelabrum cell,candelabrum neuron",":Category:Cerebellum,:Category:Purkinje cell layer of cerebellar cortex",,":Category:Rat,:Category:Macaque",,,"File:Cerebellum candelabrum cell.JPG"
":Category:Cerebellum granule cell","Cerebellum granule cell",nifext_128,"Small, numerous neuron in the granule cell layer of the vertebrate cerebellar cortex, characterized by a very small soma and several short dendrites which terminate with claw-shaped endings.  In the transmission electron microscope, these cells are characterized by a darkly stained nucleus surrounded by a thin rim of cytoplasm.  The axon ascends into the molecular layer where it bifurcates to form parallel fibers which run parallel to the long axis of the folium.  Llinas, Walton and Lang. Cerebellum. In The Synaptic Organization of the Brain. 5th ed. 2004.",:Category:Glutamate,"Cerebellar granule neuron,Cerebellar granule cell",":Category:Granular layer of cerebellar cortex",,:Category:Vertebrata,,,"File:Cerebellar granule cell.gif"
":Category:Cerebellum nucleus reciprocal projections neuron","Cerebellum nucleus reciprocal projections neuron",BAMSC1042,"...perfectly matched those (2) described previously reciprocal, non to reciprocal and symmetrical projections were found. Collator note: this neurons receive projections from Purkinke cells and send feedback axons to the same cerebellar cortex neurons. From",,"reciprocal projections neuron,cerebellar nuclei",":Category:Cerebellum,:Category:Deep cerebellar nuclear complex",,:Category:Vertebrata,,,
